item_id,order_id,prod_id,qty,mrp,discount_amount,selling_price,cogs
ITEM_0000001,ORD_000001,PRD_0044,1,840.0,176.4,663.6,444.74
ITEM_0000002,ORD_000002,PRD_0089,1,4360.0,1220.8,3139.2,2206.53
ITEM_0000003,ORD_000003,PRD_0020,1,1870.0,542.3,1327.7,927.63
ITEM_0000004,ORD_000003,PRD_0012,1,1200.0,156.0,1044.0,648.91
ITEM_0000005,ORD_000003,PRD_0154,1,1510.0,558.7,951.3,747.37
ITEM_0000006,ORD_000004,PRD_0070,1,4370.0,1136.2,3233.8,2300.48
ITEM_0000007,ORD_000005,PRD_0025,1,2370.0,284.4,2085.6,1106.82
ITEM_0000008,ORD_000006,PRD_0177,1,1860.0,260.4,1599.6,989.85
ITEM_0000009,ORD_000007,PRD_0176,1,1270.0,241.3,1028.7,615.37
ITEM_0000010,ORD_000008,PRD_0156,1,2370.0,1042.8,1327.2,1266.19
ITEM_0000011,ORD_000009,PRD_0083,1,1890.0,774.9,1115.1,983.94
ITEM_0000012,ORD_000010,PRD_0159,1,1030.0,463.5,566.5,539.36
ITEM_0000013,ORD_000011,PRD_0003,1,2390.0,956.0,1434.0,1084.85
ITEM_0000014,ORD_000012,PRD_0123,1,1040.0,374.4,665.6,510.36
ITEM_0000015,ORD_000013,PRD_0004,1,1730.0,1020.7,709.3,869.03
ITEM_0000016,ORD_000014,PRD_0055,1,2660.0,1436.4,1223.6,1140.18
ITEM_0000017,ORD_000015,PRD_0102,1,2520.0,1058.4,1461.6,1317.37
ITEM_0000018,ORD_000016,PRD_0057,1,1900.0,266.0,1634.0,953.53
ITEM_0000019,ORD_000017,PRD_0144,1,750.0,210.0,540.0,393.08
ITEM_0000020,ORD_000018,PRD_0114,1,3470.0,1249.2,2220.8,1715.39
ITEM_0000021,ORD_000019,PRD_0090,1,2990.0,1136.2,1853.8,1388.95
ITEM_0000022,ORD_000020,PRD_0127,1,810.0,218.7,591.3,342.35
ITEM_0000023,ORD_000020,PRD_0071,1,3660.0,878.4,2781.6,1845.99
ITEM_0000024,ORD_000020,PRD_0003,1,2390.0,334.6,2055.4,1084.85
ITEM_0000025,ORD_000021,PRD_0107,1,4910.0,2356.8,2553.2,2168.75
ITEM_0000026,ORD_000021,PRD_0073,1,3880.0,2250.4,1629.6,1937.5
ITEM_0000027,ORD_000022,PRD_0085,1,2040.0,693.6,1346.4,864.09
ITEM_0000028,ORD_000023,PRD_0071,1,3660.0,1317.6,2342.4,1845.99
ITEM_0000029,ORD_000024,PRD_0019,1,1800.0,684.0,1116.0,875.5
ITEM_0000030,ORD_000025,PRD_0113,1,2720.0,1033.6,1686.4,1169.52
ITEM_0000031,ORD_000026,PRD_0039,1,950.0,323.0,627.0,457.78
ITEM_0000032,ORD_000026,PRD_0172,1,1160.0,208.8,951.2,512.1
ITEM_0000033,ORD_000027,PRD_0015,1,2810.0,393.4,2416.6,1375.3
ITEM_0000034,ORD_000028,PRD_0124,1,450.0,148.5,301.5,222.39
ITEM_0000035,ORD_000029,PRD_0131,1,820.0,328.0,492.0,431.29
ITEM_0000036,ORD_000029,PRD_0076,1,1790.0,877.1,912.9,761.26
ITEM_0000037,ORD_000030,PRD_0180,1,1450.0,493.0,957.0,759.23
ITEM_0000038,ORD_000030,PRD_0116,1,3870.0,503.1,3366.9,1833.96
ITEM_0000039,ORD_000031,PRD_0107,1,4910.0,1325.7,3584.3,2168.75
ITEM_0000040,ORD_000031,PRD_0156,1,2370.0,426.6,1943.4,1266.19
ITEM_0000041,ORD_000032,PRD_0119,1,2250.0,517.5,1732.5,1188.69
ITEM_0000042,ORD_000033,PRD_0113,1,2720.0,761.6,1958.4,1169.52
ITEM_0000043,ORD_000033,PRD_0001,1,3100.0,930.0,2170.0,1481.52
ITEM_0000044,ORD_000034,PRD_0142,1,450.0,76.5,373.5,228.94
ITEM_0000045,ORD_000035,PRD_0155,1,1630.0,896.5,733.5,735.77
ITEM_0000046,ORD_000035,PRD_0015,1,2810.0,1264.5,1545.5,1375.3
ITEM_0000047,ORD_000035,PRD_0132,1,760.0,387.6,372.4,355.44
ITEM_0000048,ORD_000036,PRD_0064,1,2330.0,466.0,1864.0,1015.65
ITEM_0000049,ORD_000036,PRD_0170,1,2100.0,483.0,1617.0,1125.32
ITEM_0000050,ORD_000037,PRD_0050,1,1700.0,255.0,1445.0,720.35
