order_id,cust_id,order_date,delivery_date,order_status,payment_mode,sale_event,gross_gmv,discount_amount,net_gmv,order_cogs
ORD_000001,CUST_01728,2025-05-14,2025-05-17,Delivered,COD,BAU Regular,840.0,176.4,663.6,444.74
ORD_000002,CUST_00306,2024-03-07,2024-03-11,Returned,Credit Card,BAU Regular,4360.0,1220.8,3139.2,2206.53
ORD_000003,CUST_03790,2024-07-07,2024-07-10,Delivered,Credit Card,BAU Regular,4580.0,1257.0,3323.0,2323.91
ORD_000004,CUST_10075,2025-07-31,,RTO,COD,BAU Regular,4370.0,1136.2,3233.8,2300.48
ORD_000005,CUST_00242,2025-01-22,2025-01-27,Returned,UPI,BAU Regular,2370.0,284.4,2085.6,1106.82
ORD_000006,CUST_01239,2025-11-21,,RTO,COD,BAU Regular,1860.0,260.4,1599.6,989.85
ORD_000007,CUST_09928,2024-11-21,2024-11-26,Delivered,COD,BAU Regular,1270.0,241.3,1028.7,615.37
ORD_000008,CUST_03574,2025-10-14,2025-10-18,Delivered,Credit Card,EORS / BFF Event,2370.0,1042.8,1327.2,1266.19
ORD_000009,CUST_11473,2024-12-05,2024-12-07,Delivered,UPI,EORS / BFF Event,1890.0,774.9,1115.1,983.94
ORD_000010,CUST_04472,2025-12-21,2025-12-23,Delivered,UPI,EORS / BFF Event,1030.0,463.5,566.5,539.36
ORD_000011,CUST_09807,2025-12-11,2025-12-15,Delivered,COD,EORS / BFF Event,2390.0,956.0,1434.0,1084.85
ORD_000012,CUST_03038,2024-09-19,2024-09-25,Delivered,UPI,BAU Regular,1040.0,374.4,665.6,510.36
ORD_000013,CUST_00679,2025-10-22,2025-10-25,Delivered,COD,EORS / BFF Event,1730.0,1020.7,709.3,869.03
ORD_000014,CUST_10805,2025-10-04,2025-10-08,Delivered,UPI,EORS / BFF Event,2660.0,1436.4,1223.6,1140.18
ORD_000015,CUST_11322,2024-06-19,2024-06-23,Delivered,Credit Card,EORS / BFF Event,2520.0,1058.4,1461.6,1317.37
ORD_000016,CUST_08567,2025-04-17,2025-04-22,Delivered,UPI,BAU Regular,1900.0,266.0,1634.0,953.53
ORD_000017,CUST_09392,2024-02-29,2024-03-04,Delivered,UPI,BAU Regular,750.0,210.0,540.0,393.08
ORD_000018,CUST_00114,2025-09-27,2025-10-01,Returned,Credit Card,BAU Regular,3470.0,1249.2,2220.8,1715.39
ORD_000019,CUST_09219,2024-06-01,2024-06-07,Returned,UPI,EORS / BFF Event,2990.0,1136.2,1853.8,1388.95
ORD_000020,CUST_05627,2024-02-28,2024-03-04,Delivered,Credit Card,BAU Regular,6860.0,1431.7,5428.3,3273.19
ORD_000021,CUST_05379,2024-10-29,2024-11-02,Returned,Credit Card,EORS / BFF Event,8790.0,4607.2,4182.8,4106.25
ORD_000022,CUST_06374,2025-03-05,2025-03-08,Delivered,COD,BAU Regular,2040.0,693.6,1346.4,864.09
ORD_000023,CUST_03244,2025-10-07,2025-10-13,Delivered,UPI,EORS / BFF Event,3660.0,1317.6,2342.4,1845.99
ORD_000024,CUST_08435,2025-12-18,2025-12-24,Delivered,Credit Card,EORS / BFF Event,1800.0,684.0,1116.0,875.5
ORD_000025,CUST_03455,2024-12-01,2024-12-03,Returned,COD,EORS / BFF Event,2720.0,1033.6,1686.4,1169.52
ORD_000026,CUST_06542,2024-02-18,2024-02-24,Returned,COD,BAU Regular,2110.0,531.8,1578.2,969.88
ORD_000027,CUST_01520,2025-07-13,,RTO,Credit Card,BAU Regular,2810.0,393.4,2416.6,1375.3
ORD_000028,CUST_08113,2025-02-22,2025-02-25,Delivered,COD,BAU Regular,450.0,148.5,301.5,222.39
ORD_000029,CUST_02129,2024-12-05,2024-12-10,Delivered,UPI,EORS / BFF Event,2610.0,1205.1,1404.9,1192.55
ORD_000030,CUST_01913,2024-09-01,2024-09-03,Delivered,Credit Card,BAU Regular,5320.0,996.1,4323.9,2593.19
ORD_000031,CUST_00367,2025-01-02,2025-01-07,Delivered,UPI,BAU Regular,7280.0,1752.3,5527.7,3434.94
ORD_000032,CUST_01389,2024-09-28,2024-10-03,Delivered,Debit Card,BAU Regular,2250.0,517.5,1732.5,1188.69
ORD_000033,CUST_02721,2025-07-19,,RTO,COD,BAU Regular,5820.0,1691.6,4128.4,2651.04
ORD_000034,CUST_02544,2025-02-03,2025-02-08,Delivered,UPI,BAU Regular,450.0,76.5,373.5,228.94
ORD_000035,CUST_03800,2025-10-18,2025-10-23,Delivered,COD,EORS / BFF Event,5200.0,2548.6,2651.4,2466.51
ORD_000036,CUST_00541,2025-02-02,2025-02-07,Delivered,Credit Card,BAU Regular,4430.0,949.0,3481.0,2140.97
ORD_000037,CUST_11433,2024-07-04,2024-07-10,Delivered,UPI,BAU Regular,1700.0,255.0,1445.0,720.35
ORD_000038,CUST_01357,2025-10-05,2025-10-09,Delivered,COD,EORS / BFF Event,7670.0,3506.5,4163.5,3530.63
ORD_000039,CUST_08496,2025-02-15,2025-02-19,Delivered,UPI,BAU Regular,1180.0,177.0,1003.0,634.75
ORD_000040,CUST_06292,2024-06-17,2024-06-20,Delivered,Credit Card,EORS / BFF Event,4310.0,1594.7,2715.3,2160.98
ORD_000041,CUST_06512,2025-04-16,2025-04-22,Returned,UPI,BAU Regular,1600.0,480.0,1120.0,769.38
ORD_000042,CUST_01210,2024-10-08,2024-10-13,Delivered,UPI,EORS / BFF Event,1550.0,697.5,852.5,673.01
ORD_000043,CUST_02816,2025-10-02,2025-10-04,Delivered,Credit Card,EORS / BFF Event,870.0,365.4,504.6,444.13
ORD_000044,CUST_09550,2024-12-08,2024-12-13,Delivered,UPI,EORS / BFF Event,760.0,357.2,402.8,355.44
ORD_000045,CUST_05553,2025-06-27,2025-06-30,Returned,UPI,EORS / BFF Event,1630.0,945.4,684.6,735.77
ORD_000046,CUST_05430,2024-03-21,2024-03-24,Delivered,COD,BAU Regular,4160.0,719.1,3440.9,1939.36
ORD_000047,CUST_06435,2024-10-27,2024-10-30,Delivered,COD,EORS / BFF Event,12080.0,4528.4,7551.6,6105.85
ORD_000048,CUST_05205,2025-12-23,2025-12-29,Delivered,Credit Card,EORS / BFF Event,3130.0,1503.9,1626.1,1628.29
ORD_000049,CUST_09916,2025-09-01,2025-09-03,Returned,Credit Card,BAU Regular,2760.0,745.2,2014.8,1317.73
ORD_000050,CUST_09151,2024-05-19,2024-05-24,Delivered,COD,BAU Regular,5190.0,1307.2,3882.8,2470.96
ORD_000051,CUST_03650,2024-08-04,2024-08-10,Delivered,COD,BAU Regular,1520.0,532.0,988.0,639.61
ORD_000052,CUST_09928,2024-09-20,2024-09-24,Delivered,UPI,BAU Regular,2720.0,707.2,2012.8,1169.52
ORD_000053,CUST_06124,2025-05-11,2025-05-13,Delivered,UPI,BAU Regular,1860.0,396.0,1464.0,979.75
ORD_000054,CUST_07456,2025-07-19,2025-07-22,Delivered,Debit Card,BAU Regular,5470.0,1384.6,4085.4,2739.93
ORD_000055,CUST_10582,2025-07-13,2025-07-15,Delivered,COD,BAU Regular,2800.0,924.0,1876.0,1494.75
ORD_000056,CUST_05699,2025-01-08,2025-01-14,Delivered,Credit Card,BAU Regular,8230.0,2471.4,5758.6,4010.98
ORD_000057,CUST_09278,2025-09-03,2025-09-05,Delivered,Debit Card,BAU Regular,950.0,247.0,703.0,457.78
ORD_000058,CUST_07457,2024-11-29,2024-12-01,Delivered,UPI,BAU Regular,1860.0,465.0,1395.0,1014.04
ORD_000059,CUST_05112,2024-04-16,2024-04-21,Delivered,COD,BAU Regular,2960.0,355.2,2604.8,1296.75
ORD_000060,CUST_09727,2025-02-21,2025-02-27,Delivered,Credit Card,BAU Regular,2330.0,559.2,1770.8,1015.65
ORD_000061,CUST_01210,2025-12-07,2025-12-10,Delivered,COD,EORS / BFF Event,4210.0,2051.2,2158.8,2076.96
ORD_000062,CUST_06797,2025-08-18,2025-08-24,Delivered,UPI,BAU Regular,810.0,210.6,599.4,342.35
ORD_000063,CUST_00532,2025-03-06,2025-03-12,Delivered,UPI,BAU Regular,540.0,97.2,442.8,238.86
ORD_000064,CUST_01728,2025-05-07,2025-05-11,Delivered,Debit Card,BAU Regular,410.0,143.5,266.5,181.41
ORD_000065,CUST_07073,2025-11-23,2025-11-25,Delivered,UPI,BAU Regular,3660.0,533.8,3126.2,1816.89
ORD_000066,CUST_03607,2024-11-21,2024-11-26,Delivered,UPI,BAU Regular,1680.0,520.8,1159.2,729.83
ORD_000067,CUST_03082,2024-09-21,,RTO,COD,BAU Regular,3580.0,787.6,2792.4,1581.97
ORD_000068,CUST_11614,2025-12-20,2025-12-25,Delivered,COD,EORS / BFF Event,750.0,397.5,352.5,393.08
ORD_000069,CUST_04312,2025-10-11,2025-10-14,Delivered,UPI,EORS / BFF Event,2530.0,1467.4,1062.6,1330.78
ORD_000070,CUST_06664,2024-09-14,2024-09-18,Returned,Credit Card,BAU Regular,4630.0,1342.7,3287.3,2498.8
ORD_000071,CUST_06281,2024-12-13,2024-12-17,Delivered,COD,EORS / BFF Event,5020.0,2603.7,2416.3,2256.2
