prod_id,prod_name,category,brand,mrp,cost_price
PRD_0001,Roadster Men Western Series 1,Men Western,Roadster,3100.0,1481.52
PRD_0002,Roadster Men Western Series 2,Men Western,Roadster,1630.0,849.55
PRD_0003,Roadster Men Western Series 3,Men Western,Roadster,2390.0,1084.85
PRD_0004,Roadster Men Western Series 4,Men Western,Roadster,1730.0,869.03
PRD_0005,Roadster Men Western Series 5,Men Western,Roadster,2930.0,1429.18
PRD_0006,Roadster Men Western Series 6,Men Western,Roadster,3190.0,1355.64
PRD_0007,HRX Men Western Series 1,Men Western,HRX,1820.0,819.32
PRD_0008,HRX Men Western Series 2,Men Western,HRX,1460.0,615.71
PRD_0009,HRX Men Western Series 3,Men Western,HRX,2450.0,1254.99
PRD_0010,HRX Men Western Series 4,Men Western,HRX,1810.0,989.92
PRD_0011,HRX Men Western Series 5,Men Western,HRX,3080.0,1520.13
PRD_0012,HRX Men Western Series 6,Men Western,HRX,1200.0,648.91
PRD_0013,Levi's Men Western Series 1,Men Western,Levi's,2980.0,1347.84
PRD_0014,Levi's Men Western Series 2,Men Western,Levi's,1380.0,637.52
PRD_0015,Levi's Men Western Series 3,Men Western,Levi's,2810.0,1375.3
PRD_0016,Levi's Men Western Series 4,Men Western,Levi's,1540.0,690.76
PRD_0017,Levi's Men Western Series 5,Men Western,Levi's,1330.0,689.95
PRD_0018,Levi's Men Western Series 6,Men Western,Levi's,1520.0,691.13
PRD_0019,Wrangler Men Western Series 1,Men Western,Wrangler,1800.0,875.5
PRD_0020,Wrangler Men Western Series 2,Men Western,Wrangler,1870.0,927.63
PRD_0021,Wrangler Men Western Series 3,Men Western,Wrangler,1560.0,839.85
PRD_0022,Wrangler Men Western Series 4,Men Western,Wrangler,2800.0,1494.75
PRD_0023,Wrangler Men Western Series 5,Men Western,Wrangler,2420.0,1145.42
PRD_0024,Wrangler Men Western Series 6,Men Western,Wrangler,1170.0,639.91
PRD_0025,Tommy Hilfiger Men Western Series 1,Men Western,Tommy Hilfiger,2370.0,1106.82
PRD_0026,Tommy Hilfiger Men Western Series 2,Men Western,Tommy Hilfiger,2020.0,1019.5
PRD_0027,Tommy Hilfiger Men Western Series 3,Men Western,Tommy Hilfiger,940.0,454.28
PRD_0028,Tommy Hilfiger Men Western Series 4,Men Western,Tommy Hilfiger,2880.0,1304.06
PRD_0029,Tommy Hilfiger Men Western Series 5,Men Western,Tommy Hilfiger,1130.0,570.65
PRD_0030,Tommy Hilfiger Men Western Series 6,Men Western,Tommy Hilfiger,3020.0,1652.42
PRD_0031,DressBerry Women Western Series 1,Women Western,DressBerry,860.0,363.04
PRD_0032,DressBerry Women Western Series 2,Women Western,DressBerry,2410.0,1182.23
PRD_0033,DressBerry Women Western Series 3,Women Western,DressBerry,2960.0,1296.75
PRD_0034,DressBerry Women Western Series 4,Women Western,DressBerry,1770.0,757.68
PRD_0035,DressBerry Women Western Series 5,Women Western,DressBerry,870.0,444.13
PRD_0036,DressBerry Women Western Series 6,Women Western,DressBerry,1970.0,869.83
PRD_0037,Mast & Harbour Women Western Series 1,Women Western,Mast & Harbour,1120.0,603.32
PRD_0038,Mast & Harbour Women Western Series 2,Women Western,Mast & Harbour,2080.0,1062.9
PRD_0039,Mast & Harbour Women Western Series 3,Women Western,Mast & Harbour,950.0,457.78
PRD_0040,Mast & Harbour Women Western Series 4,Women Western,Mast & Harbour,2980.0,1440.73
PRD_0041,Mast & Harbour Women Western Series 5,Women Western,Mast & Harbour,2140.0,1125.76
PRD_0042,Mast & Harbour Women Western Series 6,Women Western,Mast & Harbour,870.0,453.89
