order_id,return_type,return_reason,refund_amount
ORD_000002,Customer Return,Size / Fit Issue,3139.2
ORD_000004,RTO (Undelivered),Customer Refused at Doorstep,3233.8
ORD_000005,Customer Return,Size / Fit Issue,2085.6
ORD_000006,RTO (Undelivered),Customer Refused at Doorstep,1599.6
ORD_000018,Customer Return,Defective / Damaged Item,2220.8
ORD_000019,Customer Return,Late Delivery,1853.8
ORD_000021,Customer Return,Size / Fit Issue,4182.8
ORD_000025,Customer Return,Size / Fit Issue,1686.4
ORD_000026,Customer Return,Quality Not as Expected,1578.2
ORD_000027,RTO (Undelivered),Customer Refused at Doorstep,2416.6
ORD_000033,RTO (Undelivered),Customer Refused at Doorstep,4128.4
ORD_000041,Customer Return,Found Better Price Elsewhere,1120.0
ORD_000045,Customer Return,Size / Fit Issue,684.6
ORD_000049,Customer Return,Late Delivery,2014.8
ORD_000067,RTO (Undelivered),Customer Refused at Doorstep,2792.4
ORD_000070,Customer Return,Size / Fit Issue,3287.3
ORD_000075,RTO (Undelivered),Customer Refused at Doorstep,2585.0
ORD_000076,RTO (Undelivered),Customer Refused at Doorstep,1363.6
ORD_000077,Customer Return,Size / Fit Issue,4201.4
ORD_000079,Customer Return,Size / Fit Issue,773.9
ORD_000080,Customer Return,Size / Fit Issue,4442.9
ORD_000083,Customer Return,Size / Fit Issue,2056.2
ORD_000093,RTO (Undelivered),Customer Refused at Doorstep,3300.0
ORD_000097,RTO (Undelivered),Customer Refused at Doorstep,3230.2
ORD_000101,RTO (Undelivered),Customer Refused at Doorstep,3388.7
ORD_000103,Customer Return,Late Delivery,1596.0
ORD_000105,Customer Return,Defective / Damaged Item,4110.4
ORD_000106,Customer Return,Size / Fit Issue,2458.5
ORD_000108,RTO (Undelivered),Customer Refused at Doorstep,1334.5
ORD_000110,Customer Return,Size / Fit Issue,900.0
ORD_000115,RTO (Undelivered),Customer Refused at Doorstep,3341.1
ORD_000120,RTO (Undelivered),Customer Refused at Doorstep,3212.6
ORD_000129,Customer Return,Size / Fit Issue,1470.5
ORD_000130,Customer Return,Quality Not as Expected,420.0
ORD_000132,RTO (Undelivered),Customer Refused at Doorstep,2027.1
ORD_000137,RTO (Undelivered),Customer Refused at Doorstep,3715.0
ORD_000138,Customer Return,Size / Fit Issue,5073.0
ORD_000139,Customer Return,Found Better Price Elsewhere,2240.4
ORD_000145,RTO (Undelivered),Customer Refused at Doorstep,1250.2
ORD_000147,Customer Return,Size / Fit Issue,873.6
ORD_000151,Customer Return,Size / Fit Issue,976.5
ORD_000157,Customer Return,Size / Fit Issue,3432.0
ORD_000159,Customer Return,Quality Not as Expected,820.8
ORD_000160,Customer Return,Defective / Damaged Item,2930.1
ORD_000162,RTO (Undelivered),Customer Refused at Doorstep,1957.8
ORD_000167,Customer Return,Quality Not as Expected,1028.9
ORD_000173,Customer Return,Late Delivery,3124.0
ORD_000174,Customer Return,Size / Fit Issue,939.7
ORD_000176,Customer Return,Size / Fit Issue,1495.2
ORD_000182,Customer Return,Quality Not as Expected,1268.8
ORD_000187,Customer Return,Defective / Damaged Item,943.5
ORD_000194,Customer Return,Late Delivery,1863.4
ORD_000195,Customer Return,Found Better Price Elsewhere,2888.1
ORD_000197,Customer Return,Late Delivery,1837.5
ORD_000203,Customer Return,Size / Fit Issue,2533.1
ORD_000205,Customer Return,Size / Fit Issue,793.8
ORD_000206,Customer Return,Size / Fit Issue,1054.0
ORD_000217,RTO (Undelivered),Customer Refused at Doorstep,4548.1
ORD_000223,RTO (Undelivered),Customer Refused at Doorstep,2132.0
ORD_000229,Customer Return,Defective / Damaged Item,638.4
ORD_000230,Customer Return,Size / Fit Issue,6385.6
ORD_000233,RTO (Undelivered),Customer Refused at Doorstep,4334.1
ORD_000239,Customer Return,Quality Not as Expected,4026.2
ORD_000247,RTO (Undelivered),Customer Refused at Doorstep,3519.5
ORD_000252,RTO (Undelivered),Customer Refused at Doorstep,1116.5
ORD_000253,Customer Return,Defective / Damaged Item,817.0
ORD_000268,RTO (Undelivered),Customer Refused at Doorstep,1499.6
ORD_000273,Customer Return,Size / Fit Issue,1629.2
